CNV SUMMARY,,Bases in reference genome,3217356871
CNV SUMMARY,,Number of target intervals,2430271
CNV SUMMARY,,Number of segments,732
CNV SUMMARY,,Number of amplifications,56
CNV SUMMARY,,Number of deletions,114
CNV SUMMARY,,Number of passing amplifications,0,0.00
CNV SUMMARY,,Number of passing deletions,0,0.00
CNV SUMMARY,,Estimated tumor purity,NA
CNV SUMMARY,,Diploid coverage,559.00
CNV SUMMARY,,Overall ploidy,1.94
